Sale_ID,Date,Brand,Product_Type,Country,Sales_Channel,Payment_Method,Price_USD,Units_Sold,Revenue_USD
1,2025-11-24,Fenty Beauty,Eyeliner,UAE,Retail Store,Digital Wallet,17.8,48,854.4
2,2025-02-22,L'Oreal,Highlighter,USA,Online,Cash,82.82,35,2898.7
3,2025-04-22,Maybelline,Eyeliner,Germany,Retail Store,Card,31.76,39,1238.64
4,2025-10-29,MAC,Highlighter,France,Mall,Cash,36.99,1,36.99
5,2025-04-21,L'Oreal,Lipstick,Germany,Online,Card,115.08,22,2531.76
6,2025-06-26,Estee Lauder,Lipstick,Germany,Online,Digital Wallet,74.43,3,223.29
7,2025-05-31,Dior,Eyeliner,UK,Online,Digital Wallet,100.38,40,4015.2
8,2025-04-27,Huda Beauty,Lipstick,Germany,Mall,Card,93.9,6,563.4
9,2025-11-22,Dior,Concealer,UAE,Mall,Digital Wallet,100.92,11,1110.12
10,2025-12-16,MAC,Eyeliner,Saudi Arabia,Beauty Salon,Card,79.52,39,3101.28
11,2025-05-19,Huda Beauty,Concealer,USA,Retail Store,Cash,118.8,41,4870.8
12,2025-06-11,Huda Beauty,Concealer,UAE,Beauty Salon,Card,51.13,5,255.65
13,2025-11-26,MAC,Eyeliner,India,Beauty Salon,Digital Wallet,57.77,17,982.09
14,2025-07-24,Estee Lauder,Lipstick,USA,Online,Cash,46.63,9,419.67
15,2025-11-18,NARS,Lipstick,Germany,Beauty Salon,Digital Wallet,23.4,44,1029.6
16,2025-08-28,Maybelline,Lipstick,India,Mall,Cash,65.85,36,2370.6
17,2025-05-31,Maybelline,Blush,Saudi Arabia,Online,Digital Wallet,55.0,30,1650.0
18,2025-06-02,Huda Beauty,Mascara,France,Retail Store,Digital Wallet,101.79,33,3359.07
19,2025-09-29,Dior,Eyeshadow,USA,Online,Card,110.63,39,4314.57
20,2025-06-07,L'Oreal,Lipstick,Canada,Online,Digital Wallet,32.54,16,520.64
21,2025-03-06,MAC,Blush,Germany,Retail Store,Digital Wallet,19.77,31,612.87
22,2025-12-20,NARS,Concealer,Canada,Beauty Salon,Cash,28.13,20,562.6
23,2025-05-07,Maybelline,Eyeliner,UAE,Online,Cash,30.84,22,678.48
24,2025-12-29,L'Oreal,Foundation,France,Online,Digital Wallet,77.58,15,1163.7
25,2025-05-02,Huda Beauty,Mascara,Canada,Retail Store,Card,37.02,32,1184.64
26,2025-07-28,NARS,Concealer,Germany,Beauty Salon,Card,26.9,7,188.3
27,2025-01-28,L'Oreal,Foundation,Germany,Mall,Cash,82.44,42,3462.48
28,2025-05-08,Estee Lauder,Mascara,Germany,Retail Store,Card,27.03,35,946.05
29,2025-08-25,Estee Lauder,Lipstick,USA,Online,Cash,33.73,5,168.65
30,2025-05-02,Estee Lauder,Eyeliner,Germany,Online,Cash,24.13,32,772.16
31,2025-07-14,Fenty Beauty,Eyeshadow,India,Beauty Salon,Digital Wallet,5.25,25,131.25
32,2025-10-12,MAC,Eyeliner,India,Retail Store,Cash,81.12,32,2595.84
33,2025-10-24,Dior,Foundation,USA,Beauty Salon,Digital Wallet,89.61,4,358.44
34,2025-09-29,L'Oreal,Mascara,UK,Online,Digital Wallet,23.1,33,762.3
35,2025-05-01,Huda Beauty,Foundation,UK,Beauty Salon,Digital Wallet,51.43,37,1902.91
36,2025-10-26,Fenty Beauty,Eyeliner,France,Retail Store,Card,70.0,21,1470.0
37,2025-07-22,Fenty Beauty,Eyeshadow,France,Online,Cash,20.05,42,842.1
38,2025-08-23,L'Oreal,Lipstick,UAE,Mall,Cash,76.43,37,2827.91
39,2025-06-28,Dior,Blush,Saudi Arabia,Beauty Salon,Digital Wallet,106.3,16,1700.8
40,2025-12-27,Maybelline,Blush,UK,Retail Store,Card,39.79,42,1671.18
41,2025-03-01,MAC,Blush,India,Retail Store,Digital Wallet,107.32,48,5151.36
42,2025-06-25,Fenty Beauty,Eyeshadow,India,Online,Cash,28.41,41,1164.81
43,2025-11-21,Maybelline,Foundation,France,Retail Store,Digital Wallet,53.71,18,966.78
44,2025-05-15,NARS,Foundation,UK,Online,Digital Wallet,23.58,29,683.82
45,2025-03-18,MAC,Highlighter,Saudi Arabia,Online,Card,67.74,24,1625.76
46,2025-07-06,Dior,Eyeliner,UAE,Online,Card,108.38,3,325.14
47,2025-10-14,MAC,Eyeliner,Saudi Arabia,Retail Store,Card,106.68,27,2880.36
48,2025-01-13,NARS,Eyeliner,India,Retail Store,Digital Wallet,25.63,22,563.86
49,2025-02-25,Estee Lauder,Eyeliner,UAE,Beauty Salon,Card,48.99,3,146.97
50,2025-06-06,Huda Beauty,Foundation,UAE,Beauty Salon,Card,99.36,15,1490.4
51,2025-05-23,Fenty Beauty,Concealer,Germany,Mall,Cash,104.4,50,5220.0
52,2025-03-01,MAC,Blush,USA,Online,Digital Wallet,105.86,17,1799.62
53,2025-08-11,NARS,Lipstick,Germany,Retail Store,Card,44.75,21,939.75
54,2025-01-23,Huda Beauty,Concealer,Germany,Online,Digital Wallet,86.51,1,86.51
55,2025-06-19,L'Oreal,Blush,India,Beauty Salon,Card,76.66,43,3296.38
56,2025-07-26,MAC,Eyeliner,Germany,Beauty Salon,Digital Wallet,85.18,36,3066.48
57,2025-03-31,NARS,Foundation,India,Mall,Cash,75.78,20,1515.6
58,2025-08-09,Dior,Eyeshadow,Canada,Beauty Salon,Digital Wallet,95.36,39,3719.04
59,2025-04-20,MAC,Lipstick,India,Mall,Cash,63.79,48,3061.92
60,2025-05-01,Huda Beauty,Mascara,USA,Online,Cash,82.37,15,1235.55
61,2025-09-01,L'Oreal,Eyeshadow,Germany,Retail Store,Digital Wallet,75.3,50,3765.0
62,2025-12-23,Huda Beauty,Mascara,USA,Online,Card,49.16,26,1278.16
63,2025-04-23,Estee Lauder,Foundation,UAE,Online,Card,25.23,45,1135.35
64,2025-03-10,Dior,Eyeshadow,Germany,Beauty Salon,Cash,97.16,43,4177.88
65,2025-09-01,Huda Beauty,Blush,Canada,Retail Store,Card,56.76,49,2781.24
66,2025-08-14,Huda Beauty,Blush,France,Mall,Digital Wallet,13.91,19,264.29
67,2025-02-11,NARS,Mascara,UAE,Online,Card,20.91,15,313.65
68,2025-07-28,NARS,Foundation,UAE,Beauty Salon,Card,43.05,30,1291.5
69,2025-10-27,NARS,Eyeshadow,USA,Mall,Card,113.8,2,227.6
70,2025-07-19,Huda Beauty,Eyeshadow,UAE,Mall,Card,103.15,27,2785.05
71,2025-09-06,NARS,Mascara,Canada,Retail Store,Digital Wallet,8.34,22,183.48
72,2025-10-01,Maybelline,Lipstick,Germany,Retail Store,Card,8.1,26,210.6
73,2025-04-04,Dior,Eyeliner,Canada,Mall,Card,10.78,25,269.5
74,2025-07-14,Fenty Beauty,Lipstick,Canada,Online,Digital Wallet,37.0,27,999.0
75,2025-10-04,Huda Beauty,Lipstick,USA,Online,Cash,10.99,23,252.77
76,2025-04-13,MAC,Eyeliner,Saudi Arabia,Beauty Salon,Digital Wallet,101.51,40,4060.4
77,2025-02-28,Estee Lauder,Blush,France,Retail Store,Digital Wallet,69.86,14,978.04
78,2025-11-07,L'Oreal,Mascara,India,Online,Digital Wallet,115.83,46,5328.18
79,2025-01-14,NARS,Highlighter,UAE,Online,Digital Wallet,111.82,37,4137.34
80,2025-12-20,L'Oreal,Blush,UK,Online,Card,100.52,16,1608.32
81,2025-09-30,L'Oreal,Concealer,USA,Beauty Salon,Card,54.26,24,1302.24
82,2025-02-24,Estee Lauder,Mascara,Germany,Retail Store,Digital Wallet,54.86,24,1316.64
83,2025-09-25,Estee Lauder,Eyeshadow,Germany,Mall,Card,116.03,18,2088.54
84,2025-05-06,Fenty Beauty,Eyeshadow,UAE,Beauty Salon,Digital Wallet,100.53,6,603.18
85,2025-11-09,Maybelline,Eyeshadow,France,Retail Store,Card,81.84,22,1800.48
86,2025-04-19,Dior,Blush,India,Online,Digital Wallet,45.8,17,778.6
87,2025-04-08,NARS,Eyeshadow,UAE,Beauty Salon,Digital Wallet,14.85,47,697.95
88,2025-12-31,L'Oreal,Blush,UAE,Beauty Salon,Digital Wallet,61.44,2,122.88
89,2025-05-05,Dior,Eyeshadow,France,Beauty Salon,Digital Wallet,40.21,38,1527.98
90,2025-10-09,Estee Lauder,Blush,India,Mall,Cash,43.04,45,1936.8
91,2025-03-03,L'Oreal,Mascara,UAE,Retail Store,Digital Wallet,87.95,21,1846.95
92,2025-09-05,Fenty Beauty,Lipstick,UAE,Mall,Cash,36.8,38,1398.4
93,2025-07-04,MAC,Blush,USA,Online,Digital Wallet,25.64,1,25.64
94,2025-05-30,Estee Lauder,Lipstick,USA,Mall,Card,85.2,9,766.8
95,2025-09-03,Maybelline,Blush,Canada,Online,Cash,55.65,12,667.8
96,2025-07-25,Maybelline,Mascara,Saudi Arabia,Mall,Cash,61.55,37,2277.35
97,2025-05-08,NARS,Eyeliner,Germany,Beauty Salon,Card,18.62,49,912.38
98,2025-06-02,Fenty Beauty,Foundation,UK,Retail Store,Digital Wallet,103.92,28,2909.76
99,2025-04-19,MAC,Eyeliner,Saudi Arabia,Online,Cash,35.43,6,212.58
100,2025-01-02,Estee Lauder,Blush,USA,Retail Store,Card,51.98,45,2339.1
101,2025-12-28,L'Oreal,Eyeliner,India,Retail Store,Card,37.51,30,1125.3
102,2025-02-28,MAC,Blush,Saudi Arabia,Online,Cash,67.62,42,2840.04
103,2025-03-26,Fenty Beauty,Eyeshadow,UK,Beauty Salon,Digital Wallet,96.15,39,3749.85
104,2025-06-05,Estee Lauder,Eyeshadow,UK,Online,Card,85.47,18,1538.46
105,2025-06-15,L'Oreal,Eyeliner,USA,Mall,Digital Wallet,74.43,2,148.86
106,2025-01-21,Estee Lauder,Eyeshadow,India,Retail Store,Digital Wallet,92.76,12,1113.12
107,2025-08-12,L'Oreal,Eyeshadow,France,Beauty Salon,Card,78.0,32,2496.0
108,2025-06-14,Dior,Highlighter,Canada,Mall,Digital Wallet,82.07,11,902.77
109,2025-07-25,Maybelline,Eyeshadow,UK,Mall,Card,98.56,36,3548.16
110,2025-06-15,NARS,Foundation,Canada,Beauty Salon,Cash,18.33,50,916.5
111,2025-04-07,Estee Lauder,Eyeshadow,USA,Retail Store,Card,64.62,40,2584.8
112,2025-10-09,Estee Lauder,Eyeshadow,UK,Online,Digital Wallet,20.07,19,381.33
113,2025-11-08,MAC,Blush,USA,Beauty Salon,Cash,96.92,46,4458.32
114,2025-04-26,Estee Lauder,Lipstick,Saudi Arabia,Beauty Salon,Digital Wallet,119.11,8,952.88
